indiv	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
PAGC61046_S42	SUPER__12	1	81635540	15384184	80750692	98.9161	27.0905	36.2	53.3
PAGC61046_S42	SUPER__13	1	72972725	13426559	71814529	98.4128	26.4145	36.2	51.4
PAGC61046_S42	SUPER__14	1	61507012	11398248	59455934	96.6653	25.8978	36	50.6
PAGC61046_S42	SUPER__15	1	60856427	11564598	60302558	99.0899	27.1614	36.2	55.1
PAGC61046_S42	SUPER__16	1	55580494	10512935	55289915	99.4772	27.1169	36.2	56.2
PAGC61046_S42	SUPER__17	1	54681234	10032615	53395020	97.6478	26.1996	36.1	54.2
PAGC61046_S42	SUPER__18	1	52719951	9802408	52277159	99.1601	26.6881	36.2	56.1
PAGC61046_S42	SUPER__19	1	43711415	8264874	43295878	99.0494	27.1237	36.2	56.1
PAGC61046_S42	SUPER__20	1	28462450	5451417	28172702	98.982	27.3385	36.1	54.8
PAGC61046_S42	SUPER__21	1	25775296	3791225	23587958	91.5138	20.7908	36.1	37.9
PAGC61046_S42	SUPER__22	1	17753772	3350072	17582166	99.0334	26.7035	36.1	54.2
PAGC61046_S42	SUPER__23	1	2327365	448858	2311050	99.299	27.4749	36	55
W17_S30	SUPER__1	1	244374582	30612916	239711530	98.0918	18.0671	36	52.3
W17_S30	SUPER__2	1	212563729	27968332	210497033	99.0277	18.9241	36	54.6
W17_S30	SUPER__3	1	211792393	27871724	209541785	98.9374	18.9355	36	54
W17_S30	SUPER__4	1	121730464	8834462	119548182	98.2073	10.263	35.9	48.8
W17_S30	SUPER__5	1	113776203	14358676	111692757	98.1688	18.1843	36	53.8
W17_S30	SUPER__6	1	111457381	14732090	110689121	99.3107	19.0998	36	55.7
W17_S30	SUPER__7	1	98951147	12919240	97461380	98.4944	18.8234	36	54.9
